                     p.Moran_I   p.Moran_Z  p.Moran_P  p.Moran_Padj
JUP               2.641493e-01   39.138473   0.000999      0.004052
MLPH              2.639682e-01   39.583711   0.000999      0.004052
HINT1             2.639497e-01   40.921716   0.000999      0.004052
EXOC2             2.637986e-01   39.491159   0.000999      0.004052
CD52              2.635954e-01   39.635939   0.000999      0.004052
FDCSP             2.631879e-01   39.599335   0.000999      0.004052
HMGB3             2.630521e-01   38.508481   0.000999      0.004052
HSPD1             2.625053e-01   41.160340   0.000999      0.004052
COX14             2.621760e-01   40.886109   0.000999      0.004052
SELENOW           2.619499e-01   37.826463   0.000999      0.004052
HMGB2             2.617609e-01   38.714036   0.000999      0.004052
CLDN4             2.615543e-01   40.383276   0.000999      0.004052
RPL35             2.614260e-01   41.048322   0.000999      0.004052
PFKFB3            2.608129e-01   38.650130   0.000999      0.004052
SERPING1          2.605417e-01   39.480276   0.000999      0.004052
NME1              2.602505e-01   39.969997   0.000999      0.004052
BST2              2.601958e-01   39.100033   0.000999      0.004052
TMEM106C          2.599163e-01   38.893478   0.000999      0.004052
HSPE1             2.594226e-01   38.913255   0.000999      0.004052
SELENOP           2.590557e-01   40.625796   0.000999      0.004052
MB                2.589295e-01   38.753106   0.000999      0.004052
ASCL2             2.588371e-01   39.083905   0.000999      0.004052
ELF3              2.586497e-01   39.495789   0.000999      0.004052
PTGDS             2.586150e-01   38.069384   0.000999      0.004052
FOXA1             2.580604e-01   37.994556   0.000999      0.004052
PLPBP             2.580562e-01   38.186324   0.000999      0.004052
DSTN              2.579877e-01   37.807149   0.000999      0.004052
EIF1              2.574156e-01   38.587554   0.000999      0.004052
RPS14             2.574063e-01   39.940672   0.000999      0.004052
PDCD4             2.573775e-01   39.736267   0.000999      0.004052
SPDEF             2.571432e-01   40.068039   0.000999      0.004052
SDC4              2.567152e-01   39.635153   0.000999      0.004052
SLC7A2            2.558879e-01   37.568195   0.000999      0.004052
SMS               2.557339e-01   39.290866   0.000999      0.004052
COLEC12           2.556366e-01   39.153799   0.000999      0.004052
S100A9            2.553329e-01   38.474962   0.000999      0.004052
ASCL1             2.550382e-01   39.076190   0.000999      0.004052
TCEAL1            2.549929e-01   37.996784   0.000999      0.004052
CD79A             2.549757e-01   38.324561   0.000999      0.004052
ENSA              2.549661e-01   37.671583   0.000999      0.004052
RARRES3           2.541700e-01   38.118849   0.000999      0.004052
MUC19             2.538718e-01   37.845830   0.000999      0.004052
RPL39             2.536504e-01   38.143084   0.000999      0.004052
FLNA              2.535145e-01   36.492292   0.000999      0.004052
ATP9A             2.533879e-01   36.813561   0.000999      0.004052
PRR15             2.531619e-01   39.200473   0.000999      0.004052
EMILIN1           2.528902e-01   38.587466   0.000999      0.004052
TMCO1             2.526850e-01   37.751423   0.000999      0.004052
ATP5MD            2.525092e-01   36.756255   0.000999      0.004052
ACTB              2.522669e-01   38.125085   0.000999      0.004052
MARCKSL1          2.520753e-01   39.346405   0.000999      0.004052
AQP1              2.519991e-01   39.286813   0.000999      0.004052
KAT6B             2.517598e-01   36.572873   0.000999      0.004052
ATP5F1E           2.515262e-01   36.927304   0.000999      0.004052
RPL28             2.514761e-01   38.853466   0.000999      0.004052
MT2A              2.511504e-01   38.256211   0.000999      0.004052
LTB               2.508949e-01   38.469462   0.000999      0.004052
SPTSSB            2.507238e-01   37.050679   0.000999      0.004052
REPS2             2.506226e-01   39.114732   0.000999      0.004052
CLU               2.504762e-01   37.024511   0.000999      0.004052
CCT3              2.500861e-01   38.397692   0.000999      0.004052
NUCKS1            2.499901e-01   38.314709   0.000999      0.004052
IGFBP2            2.496213e-01   38.407099   0.000999      0.004052
